IncidentID,AgencyORI,AgencyName,IncidentStatusDesc,County,RdwyNumber,Street,RoadwayName,StreetSfx,StreetDir,IntersectionRdwy,IntersectionRdwyName,BetweenStRdwy1,BetweenStRdwyName1,BetweenStRdwy2,BetweenStRdwyName2,Latitude,Longitude,Milepoint,CollisionDate,CollisionTime,UnitsInvolved,MotorVehiclesInvolved,NumberKilled,NumberInjured,Weather,RdwyConditionCode,HitandRun,DirAnalysisCode,MannerofCollision,RdwyCharacter,LightCondition,RampFromRdwyId,RampToRdwyId,AcceptedDate,IsSecondaryCollision,OwnerBadge,IncidentStatus
30217608,568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,,4803,HAZELWOOD,AVE,,,,,,,,38.17383509,-85.79351843,0.332,6/23/22 0:00,139,2,2,0,0,CLEAR,DRY,TRUE,1 VEHICLE PARKED POSITION (NOT PARKING LOT/DRIVEWAY),HEAD ON,CURVE & LEVEL,DARK (UNKNOWN ROADWAY LIGHTING),,,6/23/22 8:07,FALSE,5378,Accepted
30217610,568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,KY1065,,OUTER,LOOP,,,,,JOYCE,,DONEGAL,38.13846213,-85.6498921,8.077,6/23/22 0:00,609,2,2,0,0,CLEAR,DRY,TRUE,SIDESWIPE COLLISION - SAME DIRECTION,SIDESWIPE-SAME DIRECTION,STRAIGHT & GRADE,DAYLIGHT,,,6/23/22 8:07,FALSE,5169,Accepted
30217607,568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,,840,RIVER CREST,CT,,,,,,,,38.26933655,-85.70159591,0.005,6/22/22 0:00,2322,1,1,0,0,CLEAR,DRY,TRUE,COLLISION WITH FIXED OBJECT NON - INTERSECTION - FIRST EVENT COLLISION 09 - 32 EXCLUDING 16,SINGLE VEHICLE,CURVE & GRADE,DARK-HWY LIGHTED/ON,,,6/23/22 8:07,FALSE,5437,Accepted
30217609,568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,I 0264,,I264 W,,,,,,,,,38.19002932,-85.76621312,10.174,6/22/22 0:00,2350,3,3,0,0,CLEAR,DRY,FALSE,1 VEHICLE PARKED POSITION (NOT PARKING LOT/DRIVEWAY),REAR END,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,,,6/23/22 8:07,FALSE,5413,Accepted
30217577,568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,I 0065,,I65 N,,,I 0065,I65 N EXIT127 OFF RAMP TO KY1065,,,,,38.13653684,-85.70643426,126.694,6/22/22 0:00,801,1,1,0,0,CLEAR,DRY,FALSE,OTHER INTERSECTION COLLISIONS,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,,,6/23/22 8:05,FALSE,5423,Accepted
30217590,568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,KY1065,,OUTER,LOOP,,,,I 0065,I65 S EXIT127 OFF RAMP TO KY1065,I 0065,I65 N EXIT127 ON RAMP FROM KY1065,38.13698219,-85.7070508,4.91,6/22/22 0:00,1613,2,2,0,0,CLOUDY,DRY,FALSE,REAR END IN TRAFFIC LANES BOTH VEHICLES MOVING,REAR END,STRAIGHT & LEVEL,DAYLIGHT,,,6/23/22 8:05,FALSE,2324,Accepted
30217591,568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,KY1065,,OUTER,LOOP,,,,I 0065,I65 S EXIT127 ON RAMP FROM KY1065,I 0065,I65 S EXIT127 OFF RAMP TO KY1065,38.1369448,-85.70896393,4.809,6/22/22 0:00,1613,3,3,0,0,CLOUDY,DRY,TRUE,REAR END IN TRAFFIC LANES BOTH VEHICLES MOVING,REAR END,STRAIGHT & LEVEL,DAYLIGHT,,,6/23/22 8:05,FALSE,2324,Accepted
30217599,568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,I 0065,,,,,,,,,,,38.19189254,-85.73176458,1.339,6/22/22 0:00,1656,2,2,0,3,CLOUDY,WET,FALSE,OTHER RAMP RELATED COLLISIONS NOT LISTED ABOVE,ANGLE,CURVE & GRADE,DAYLIGHT,I 0065,I 0264,6/23/22 8:06,FALSE,7402,Accepted
30212869,568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,,,INDIAN,TRL,E,KY0864,POPLAR LEVEL,,,,,38.17158775,-85.68491723,1.209,6/22/22 0:00,455,2,2,0,0,CLEAR,DRY,TRUE,ANGLE COLLISION - OTHER,ANGLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,,,6/22/22 8:14,FALSE,5317,Accepted
30217583,568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,,,7TH,ST,S,,,US0150,BROADWAY,,MAGAZINE,38.24789472,-85.76311269,2.123,6/22/22 0:00,958,2,2,0,0,CLEAR,DRY,FALSE,SIDESWIPE COLLISION - SAME DIRECTION,SIDESWIPE-SAME DIRECTION,STRAIGHT & LEVEL,DAYLIGHT,,,6/23/22 8:05,FALSE,7229,Accepted
30217585,568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,I 0065,,,,,,,,,,,38.18677268,-85.72547993,0.183,6/22/22 0:00,645,3,3,0,0,CLEAR,DRY,FALSE,OTHER RAMP RELATED COLLISIONS NOT LISTED ABOVE,SIDESWIPE-SAME DIRECTION,STRAIGHT & LEVEL,DAYLIGHT,I 0065,I 0264,6/23/22 8:05,FALSE,7772,Accepted
30217593,568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,KY2052,,SHEPHERDSVILLE,RD,,,,,,,,38.15844751,-85.65989972,1.369,6/22/22 0:00,1432,2,2,0,0,CLEAR,DRY,TRUE,1 VEHICLE ENTERING/LEAVING ENTRANCE,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,,,6/23/22 8:05,FALSE,7864,Accepted
30217594,568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,KY1020,,KENWOOD,WAY,W,,,,,,,38.1797992,-85.7674584,7.686,6/22/22 0:00,1451,2,2,0,0,CLEAR,DRY,FALSE,1 VEHICLE PARKED POSITION (NOT PARKING LOT/DRIVEWAY),REAR END,STRAIGHT & LEVEL,DAYLIGHT,,,6/23/22 8:06,FALSE,5436,Accepted
30217601,568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,KY1931,4529,GREENWOOD,RD,,,,,,,,38.1448195,-85.87215475,1.398,6/22/22 0:00,2144,2,2,0,0,CLEAR,DRY,FALSE,1 VEHICLE ENTERING/LEAVING ENTRANCE,ANGLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/OFF,,,6/23/22 8:06,FALSE,7277,Accepted
30217603,568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,,,MINOR,LN,,KY1065,OUTER,,,,,38.13626827,-85.69711805,1.374,6/22/22 0:00,1912,2,2,0,2,CLEAR,DRY,FALSE,SIDESWIPE-SAME DIRECTION,SIDESWIPE-SAME DIRECTION,STRAIGHT & LEVEL,DAYLIGHT,,,6/23/22 8:06,FALSE,5196,Accepted
30217611,568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,US0150,,BROADWAY,,W,,9TH,,,,,38.24680995,-85.76633606,1.916,6/22/22 0:00,2335,2,2,0,1,CLEAR,DRY,FALSE,REAR END - ONE VEHICLE TURNING LEFT,REAR END,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,,,6/23/22 8:07,FALSE,5403,Accepted
30218196,564400,INDIAN HILLS POLICE DEPARTMENT,Accepted,JEFFERSON,,,RIVER,RD,,,INDIAN HILLS,,,,,38.28985805,-85.68244706,1.052,6/22/22 0:00,2300,1,1,0,0,CLEAR,DRY,TRUE,NON-COLLISION OBJECT COLLISION,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/OFF,,,6/23/22 11:07,FALSE,4434,Accepted
30212862,568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,KY1065,136,OUTER,LOOP,,,,,,,,38.12680379,-85.78936147,0.298,6/22/22 0:00,256,2,2,0,0,CLEAR,DRY,FALSE,COLLISION WITH FIXED OBJECT NON - INTERSECTION - FIRST EVENT COLLISION 09 - 32 EXCLUDING 16,HEAD ON,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,,,6/22/22 8:13,TRUE,5209,Accepted
30212866,568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,US0150,1221,BROADWAY,,E,,,,,,,38.24387875,-85.72862393,4.001,6/22/22 0:00,212,4,4,0,0,CLEAR,DRY,FALSE,1 VEHICLE PARKED POSITION (NOT PARKING LOT/DRIVEWAY),REAR END,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,,,6/22/22 8:14,FALSE,5197,Accepted
30216143,560300,ST. MATTHEWS POLICE DEPARTMENT,Accepted,JEFFERSON,I 0264,,I264 E,,,I 0264,I264 E EXIT20 TRANSIT,,,,,38.25565852,-85.62075795,20.188,6/22/22 0:00,1639,2,2,0,0,RAINING,WATER (STANDING OR MOVING),FALSE,OTHER INTERSECTION COLLISIONS,REAR END,STRAIGHT & LEVEL,DAYLIGHT,,,6/22/22 22:56,FALSE,9187,Accepted
30217579,568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,I 0264,,,,,,,,,,,38.27023905,-85.80872875,0.063,6/22/22 0:00,800,1,1,0,2,CLEAR,DRY,FALSE,COLLISION WITH FIXED OBJECT NON - INTERSECTION - FIRST EVENT COLLISION 09 - 32 EXCLUDING 16,SINGLE VEHICLE,CURVE & GRADE,DAYLIGHT,,,6/23/22 8:05,FALSE,7746,Accepted
30217587,568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,KY1934,,CANE RUN,RD,,,RICHMONT,,,,,38.19730906,-85.8401351,8.979,6/22/22 0:00,1510,3,3,0,0,CLEAR,DRY,FALSE,OTHER INTERSECTION COLLISIONS,REAR END,STRAIGHT & LEVEL,DAYLIGHT,,,6/23/22 8:05,FALSE,7381,Accepted
30217588,568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,,,CHESTNUT,ST,W,,,,16TH,,17TH,38.25131661,-85.77892334,1.208,6/22/22 0:00,1509,2,2,0,0,CLEAR,DRY,FALSE,1 VEHICLE PARKED POSITION (NOT PARKING LOT/DRIVEWAY),SIDESWIPE-SAME DIRECTION,STRAIGHT & LEVEL,DAYLIGHT,,,6/23/22 8:05,FALSE,7805,Accepted
30217589,568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,US0031E,,BARDSTOWN,RD,,,,,COLONEL HANCOCK,,OLD BARDSTOWN,38.13041521,-85.57735567,4.086,6/22/22 0:00,1635,2,2,0,0,CLOUDY,DRY,FALSE,1 VEHICLE ENTERING/LEAVING ENTRANCE,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,,,6/23/22 8:05,FALSE,6878,Accepted
30217596,568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,KY0841,,GENE SNYDER,FWY,,,,,,,,38.09026583,-85.8669793,0.484,6/22/22 0:00,1539,2,2,0,0,CLEAR,DRY,FALSE,REAR END IN TRAFFIC LANES BOTH VEHICLES MOVING,REAR END,STRAIGHT & LEVEL,DAYLIGHT,,,6/23/22 8:06,FALSE,7234,Accepted
